Class	Order	Family	genspec	Common Name	tsn	accepted_tsn
Anthozoa	Alcyonacea	Plexauridae	Eunicea succinea	Shelf knob sea rod	52196	52196
Anthozoa	Alcyonacea	Plexauridae	Eunicea tourneforti	NA	52195	52195
Anthozoa	Alcyonacea	Plexauridae	Muricea atlantica	NA	52180	52180
Anthozoa	Alcyonacea	Plexauridae	Muricea elongata	Orange Spiny Sea Rod	52175	52175
Anthozoa	Alcyonacea	Plexauridae	Muricea laxa	Delicate spiny sea rod	52176	52176
Anthozoa	Alcyonacea	Plexauridae	Muricea muricata	Spiny sea fan	52179	52179
Anthozoa	Alcyonacea	Plexauridae	Muricea pinnata	Long spine sea fan	52178	52178
Anthozoa	Alcyonacea	Plexauridae	Muriceopsis bayeri	NA	NA	NA
Anthozoa	Alcyonacea	Plexauridae	Muriceopsis flavida	Rough sea plume	52223	52223
Anthozoa	Alcyonacea	Plexauridae	Muriceopsis petila	Deep water sea plume	52225	52225
Anthozoa	Alcyonacea	Plexauridae	Muriceopsis sulphurea	Sulphur sea plume	52224	52224
Anthozoa	Alcyonacea	Plexauridae	Plexaura flexuosa	Bent sea rod	719216	719216
Anthozoa	Alcyonacea	Plexauridae	Plexaura homomalla	Black sea rod	52211	52211
Anthozoa	Alcyonacea	Plexauridae	Plexaura kukenthali	NA	NA	NA
Anthozoa	Alcyonacea	Plexauridae	Plexaura kuna	NA	NA	NA
Anthozoa	Alcyonacea	Plexauridae	Plexaura nina	NA	52210	52210
Anthozoa	Alcyonacea	Plexauridae	Plexaurella dichotoma	NA	52201	52201
Anthozoa	Alcyonacea	Plexauridae	Plexaurella fusifera	NA	52200	52200
Anthozoa	Alcyonacea	Plexauridae	Plexaurella grisea	Sausage Coral	52202	52202
Anthozoa	Alcyonacea	Plexauridae	Plexaurella nutans	Giant slit-pore sea rod	52199	52199
Anthozoa	Alcyonacea	Plexauridae	Plexaurella obesa	NA	NA	NA
Anthozoa	Alcyonacea	Plexauridae	Plexaurella sp.	NA	NA	NA
Anthozoa	Alcyonacea	Plexauridae	Pseudoplexaura flagellosa	NA	52206	52206
Anthozoa	Alcyonacea	Plexauridae	Pseudoplexaura porosa	NA	52204	52204
